;response;response_exp;cum.response;cum.response_exp;point.pred;point.pred_exp;point.pred.lower;point.pred.lower_exp;point.pred.upper;point.pred.upper_exp;cum.pred;cum.pred_exp;cum.pred.lower;cum.pred.lower_exp;cum.pred.upper;cum.pred.upper_exp;point.effect;point.effect.lower;point.effect.upper;cum.effect;cum.effect.lower;cum.effect.upper
84;3,828641396;46;336,8844221;4711;4,01911002;55,65155499;3,703511385;40,58958004;4,364100759;78,57870694;336,8844221;4677;336,8844221;3347;336,8844221;6542;-0,190468623;-0,535459362;0,125130012;0;0;0
85;4,043051268;57;340,9274734;4768;3,991843499;54,15463138;3,662177198;38,94604389;4,321844431;75,32743647;340,9274734;4731;340,9274734;3386;340,9274734;6617;0,051207769;-0,278793163;0,38087407;0;0;0
86;4,127134385;62;345,0546078;4830;3,945114129;51,68223623;3,620098266;37,341237;4,286273773;72,69508479;345,0546078;4783;345,0546078;3423;345,0546078;6690;0,182020256;-0,159139388;0,507036119;0;0;0
87;4,077537444;59;349,1321452;4889;4,005865004;54,91930928;3,65804547;38,7854614;4,313623806;74,7107362;349,1321452;4838;349,1321452;3462;349,1321452;6765;0,07167244;-0,236086362;0,419491974;0;0;0
88;4,043051268;57;353,1751965;4946;3,947525272;51,80699984;3,607299011;36,86634263;4,284706028;72,58120672;353,1751965;4889;353,1751965;3499;353,1751965;6837;0,095525996;-0,24165476;0,435752257;0;0;0
89;4,094344562;60;357,2695411;5006;4,059159942;57,92562975;3,742254712;42,19301611;4,403684458;81,75152451;357,2695411;4947;357,2695411;3541;357,2695411;6919;0,03518462;-0,309339896;0,35208985;0;0;0
90;3,951243719;52;361,2207848;5058;3,990592274;54,08691413;3,663986046;39,01655512;4,313070577;74,66941545;361,2207848;5001;361,2207848;3580;361,2207848;6994;-0,039348555;-0,361826858;0,287257672;0;0;0
91;4,204692619;67;365,4254774;5125;4,085985901;59,50057053;3,754682102;42,72063684;4,402594516;81,66246866;365,4254774;5061;365,4254774;3623;365,4254774;7075;0,118706718;-0,197901897;0,450010518;0;0;0
92;4,060443011;58;369,4859204;5183;4,068654777;58,47824338;3,700988919;40,48732325;4,392227614;80,82025495;369,4859204;5119;369,4859204;3664;369,4859204;7156;-0,008211767;-0,331784604;0,359454092;0;0;0
93;4,077537444;59;373,5634579;5242;3,950394112;51,95583923;3,610366534;36,97960462;4,26089393;70,87331095;373,5634579;5171;373,5634579;3701;373,5634579;7227;0,127143332;-0,183356486;0,46717091;0;0;0
